,DRUG_NAME,smiles,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195
0,Serdemetan,C(Cc1c[nH]c2ccccc12)Nc1cccc(Nc2ccncc2)c1,1.3879425076553562,959.7315842717344,16.899130457682162,13.866980657338193,13.866980657338193,12.382142733160752,8.443589239962334,8.443589239962334,5.977967342678483,5.977967342678483,4.229948204222734,4.229948204222734,2.9887847577069464,2.9887847577069464,0.0,0.0,0.0,0.0,0.0,30.02773685288927,16.466376423778055,12.393687143226153,12.13273413692322,75.32931436921304,0.0,328.16879664000004,0.84,1.68,2.6,0.09523809523809523,-3.2699999999999996,25.0,308.25900000000007,1164472.0625633656,15.26898251541231,7.0928502410405985,3.6347710512272524,146.48567306133032,4.0360993517654045,4.0360993517654045,0.889442397329302,0.889442397329302,4.961100000000003,104.45410000000001,328.41900000000004,3.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,4.0,0.0,6.0,0.0,0.0,0.0,124.0,15.617555728959871,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,24.26546827384644,48.382475525392664,53.100370876883545,0.0,4.0,0.0,27.96508375613174,0.0,9.967957041894417,0.0,6.4208216229260096,17.178333613925236,84.81765289115233,0.0,0.0,10.633577208012662,17.062158824050687,0.0,0.0,16.51271344780699,6.4208216229260096,0.0,5.563451491696996,79.25420139945534,0.0,10.902924932081056,0.0,52.74,0.0,0.0,7.366463770051554,8.19818391068197,5.739210748710555,0.0,20.656842914146566,6.649856259080056,0.889442397329302,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4686825177612335
1,Romidepsin,C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,2.5523357390988037,905.0376252379815,26.827698166887178,21.29056587116373,22.92355903301918,17.02698356085113,12.023572951073417,14.511606822786002,9.239909639204374,11.867109346165696,5.587705091703599,8.034405072717597,3.5018030911739593,5.658129836734902,53.827513080550055,23.97268592035911,0.0,29.706526635051418,12.1736752296728,0.0,27.663816059607328,40.694706105287,6.076020106833881,21.267154416025324,4.736862953800049,540.207626872,0.9444444444444444,1.6388888888888888,2.2777777777777777,0.625,-2.47,36.0,504.42000000000036,40867756.332453005,29.758327793297926,14.315165593975907,8.879506536980426,219.50883788876257,13.155177390400604,13.155177390400604,0.04451779940371181,-1.0028462511547833,1.4296000000000009,140.53779999999995,540.7080000000002,4.0,10.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,4.0,12.0,0.0,2.0,0.0,1.0,1.0,200.0,26.004017369825373,29.92652818824802,0.0,17.721539188054518,5.907179729351506,5.969305287951849,19.178148736287287,4.794537184071822,0.0,0.0,61.43478496520369,31.256391021773297,11.505707213493578,6.4208216229260096,2.0,28.709548874159157,51.185820158131314,0.0,21.267154416025324,11.835812092322787,71.68981811949732,11.505707213493578,23.925099633557476,0.0,0.0,21.267154416025324,0.0,0.0,21.587795952773448,65.33322029404363,28.709548874159157,11.835812092322787,47.46032924430513,23.925099633557476,0.0,0.0,0.0,142.70000000000002,5.650603137860083,0.0,65.18165435599553,10.669197973559896,-0.04451779940371181,-2.542464493028617,-2.86413855820106,4.508708761843682,8.65950334227661,2.9481199457642453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17833858604326225
2,LY2109761,C1CC2=C(C(=NN2C1)C3=CC=CC=N3)C4=C5C=CC(=CC5=NC=C4)OCCN6CCOCC6,1.324636798625385,1264.6637978036865,22.036958659186848,18.612678011813077,18.612678011813077,16.365305980755142,11.698156448406776,11.698156448406776,8.551916855758735,8.551916855758735,6.512152552764748,6.512152552764748,4.85028329575503,4.85028329575503,0.0,0.0,0.0,0.0,6.606881964512918,85.83817704528705,11.257379486545457,0.0,36.6591554170726,37.74877091327491,14.572407715901136,441.21647510400004,0.9696969696969697,1.9090909090909092,2.787878787878788,0.34615384615384615,-3.2899999999999996,33.0,414.31900000000024,105014233.00873035,20.326369190131246,8.92110637230032,3.983102875798903,192.53352633394226,6.0655546528120485,6.0655546528120485,0.6586714556138187,0.6586714556138187,3.8175000000000034,127.27000000000005,441.53500000000037,0.0,7.0,0.0,2.0,2.0,1.0,3.0,4.0,7.0,0.0,7.0,0.0,6.0,0.0,1.0,1.0,168.0,9.473725907600098,18.050321792645285,0.0,0.0,0.0,0.0,19.54966970789008,0.0,5.098681808301038,0.0,6.06636706846161,48.73693007985706,61.28268353634831,24.42439264149056,6.0,9.473725907600098,10.902924932081056,0.0,24.648351516191116,0.0,19.386399651764595,39.45491511127648,60.552184617305876,0.0,28.264270806374817,4.736862953800049,0.0,5.749511833283905,0.0,64.10326662746759,17.702440982638635,0.0,12.114749617774471,54.858256622457425,0.0,33.41768390517197,0.0,65.3,13.631101973129429,0.0,11.62331505848573,6.051311116235221,6.407039529998725,0.852401809616817,14.31414887088233,5.869889724645072,6.084125250340012,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45331977471269036
3,PRT062607,C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N.Cl,2.559996578871432e-06,995.4299780771872,20.216967702877945,16.231844644259592,17.04834122518732,14.09735678832402,9.527037195231413,9.527037195231413,7.0131376611283915,7.0131376611283915,4.946707521634737,4.946707521634737,3.425413411381248,3.425413411381248,5.907179729351506,4.794537184071822,0.0,30.054166311172892,17.453588333505085,31.3706727663876,10.99334979411209,12.393687143226153,24.26546827384644,30.798897866509154,11.46733495432437,429.179234068,1.1666666666666667,1.9333333333333333,2.6666666666666665,0.3157894736842105,-3.24,30.0,405.72400000000016,6321494.565715398,21.468419010331534,9.505583665025938,4.836430963010203,179.42310726091188,11.856723302217532,11.856723302217532,0.0,-0.6126710390946501,2.0034,116.29370000000002,429.9160000000001,6.0,10.0,1.0,0.0,1.0,1.0,2.0,3.0,9.0,4.0,11.0,0.0,6.0,1.0,0.0,1.0,158.0,22.100912162337032,11.381314269532023,0.0,5.948339280986494,5.907179729351506,0.0,4.794537184071822,4.9839785209472085,19.9778483600483,12.407033161179976,18.90801031431363,31.040744451236847,23.967911504592557,18.081073417909714,4.0,4.794537184071822,35.76780122403657,0.0,24.961826880995506,11.46733495432437,37.76696814999996,10.633577208012662,48.419450480382665,0.0,5.687386274683562,22.100912162337032,17.453588333505085,0.0,12.407033161179976,42.95268826864293,0.0,0.0,36.041275167472854,42.85599898868567,0.0,5.687386274683562,0.0,149.66,0.0,0.0,22.08299790019605,14.691870110885228,13.39055012654375,0.11853531536071249,7.577285047818645,8.805428165862281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4642526448168921
4,NVP-ADW742,C1CCN(C1)CC2CC(C2)N3C=C(C4=C(N=CN=C43)N)C5=CC(=CC=C5)OCC6=CC=CC=C6,1.2529525282496423,1272.7060012623663,22.907202147189924,19.436860690610843,19.436860690610843,16.74231607846689,12.349294449786935,12.349294449786935,9.708634619641055,9.708634619641055,7.351338929082693,7.351338929082693,5.506969368782916,5.506969368782916,0.0,0.0,0.0,0.0,18.46658557149591,39.39117378976881,45.31755570944176,6.3273200747645415,30.33183534230805,49.897278265995766,10.470530430962235,453.25286061199995,0.9705882352941176,1.7941176470588236,2.6176470588235294,0.35714285714285715,-3.379999999999999,34.0,422.34200000000027,118256342.80341317,21.1732470292037,9.105175321519985,4.140039538352118,199.9367123664934,6.37387045924269,6.37387045924269,0.4682095751850647,0.4682095751850647,5.306400000000005,135.5853999999999,453.5900000000002,2.0,6.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0,1.0,6.0,0.0,7.0,1.0,1.0,2.0,174.0,19.93753980960407,30.14875387116412,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,42.46456947923127,67.9503424700078,24.346892298370605,5.386224214464796,6.0,4.736862953800049,16.85126421306755,0.0,19.43496642053625,5.917906046161393,38.33200928536492,25.36793669489991,72.68491875422912,0.0,16.876414816677897,10.470530430962235,5.817862777835028,5.749511833283905,0.0,39.06923563827398,6.606881964512918,5.917906046161393,37.288578812549,67.12146726253211,0.0,22.160304418626513,0.0,69.2,8.420510747044803,0.0,11.58142986620398,0.9358354515921257,10.599197880667713,2.1455473877943074,18.929577985821815,8.909053131844674,4.312180882363912,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4108544963312212
5,Elephantin,C=C1C(=O)O[C@H]2[C@H]1[C@@H](OC(=O)C=C(C)C)CC1=C[C@@H](C[C@@]3(C)O[C@H]23)OC1=O,1.7138610161881305,803.147867727605,19.507707210578268,15.520510261134067,15.520510261134067,12.6753595974132,9.02554381722053,9.02554381722053,8.013003175288684,8.013003175288684,5.510700247160577,5.510700247160577,4.196528055982237,4.196528055982237,47.73877188424553,14.383611552215466,0.0,18.09789254074358,11.993926152995277,5.573104530069267,6.076020106833881,19.92349450621513,6.923737199690624,6.578935683598497,18.947451815200196,374.1365530439999,1.2962962962962963,2.037037037037037,2.740740740740741,0.55,-2.41,27.0,352.21300000000014,1068739.1520616268,17.976742994458412,6.054600020490193,3.0966095919025567,156.51976470885424,12.271473568594104,12.271473568594104,0.1368414588057445,-0.7767129629629637,1.7652999999999999,92.29600000000005,374.3890000000001,0.0,7.0,1.0,3.0,4.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,2.0,0.0,2.0,2.0,144.0,18.947451815200196,24.41586555099321,0.0,0.0,0.0,17.90791586385555,0.0,14.383611552215466,0.0,0.0,12.152040213667764,26.847231705905752,30.063872412824434,11.518956857145081,4.0,33.33106336741566,17.90791586385555,0.0,0.0,5.917906046161393,63.629771206900784,0.0,35.45028948747406,0.0,0.0,0.0,0.0,0.0,0.0,47.92483222583244,33.33106336741566,5.917906046161393,33.61285484492389,35.45028948747406,0.0,0.0,0.0,91.43,22.44864302511128,0.0,36.72723921590241,0.0,0.8782021604938286,-2.0684445599227343,0.0,1.6227639107308554,9.308262914351028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31474636394931255
6,Osimertinib,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,1.7065918885507305,1427.5756477173193,26.526368779636442,21.947387593883413,21.947387593883413,17.799264050931818,11.961896098355963,11.961896098355963,9.049163503309535,9.049163503309535,6.129909869664962,6.129909869664962,4.140986971863572,4.140986971863572,0.0,4.794537184071822,0.0,5.907179729351506,23.072623663637522,40.93720350513522,6.076020106833881,13.30664111289061,58.5225232730168,54.89298823058698,9.720841474747257,499.2695732960001,1.135135135135135,1.9189189189189189,2.6486486486486487,0.25,-4.37,37.0,466.3550000000003,201258419.0513093,25.714839198898407,11.132403403828903,5.727560753255412,216.93996108181824,12.222602682564597,12.222602682564597,0.2985375009821398,-0.2985375009821398,4.509800000000003,150.87239999999974,499.6190000000003,2.0,9.0,0.0,0.0,0.0,2.0,2.0,4.0,8.0,2.0,9.0,0.0,10.0,0.0,0.0,0.0,192.0,29.73735927130502,5.749511833283905,0.0,11.855519010338,0.0,0.0,4.794537184071822,9.967957041894417,0.0,0.0,24.778036888983326,38.37046527757309,62.11128741264534,29.86588436017668,4.0,9.53140013787187,39.82060276646975,0.0,19.43496642053625,7.04767198267719,0.0,56.875813239997385,67.5132124128898,0.0,17.00689131982936,20.27034989266319,23.01049810503718,5.749511833283905,0.0,66.68447245102199,11.842209166749011,0.0,0.0,67.5132124128898,0.0,22.160304418626517,0.0,87.55,7.7911168538880755,0.0,25.609090225395967,7.310944152499818,5.0239840723529605,0.7161966137253699,13.829160643744574,5.040728545006802,5.191820419380108,9.65362514067299,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3105348061023151
7,Tretinoin,CC(=CCO)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,2.775853160028001,495.9314560383046,15.880468888623982,14.239742335383905,14.239742335383905,9.864209190060022,7.874958510641314,7.874958510641314,6.6652910467372966,6.6652910467372966,4.186854525685967,4.186854525685967,2.8443904395341097,2.8443904395341097,0.0,0.0,0.0,6.606881964512918,5.41499046939678,5.573104530069267,35.98177845898583,6.076020106833881,19.075777413358384,45.92300911926414,5.106527394840706,286.22966558,1.1904761904761905,1.9047619047619047,2.5238095238095237,0.5,-1.3399999999999999,21.0,256.21899999999994,29802.856267948577,17.71086469989827,8.187904106559273,5.887343018584643,130.0135386391106,8.80560622196528,8.80560622196528,0.09849876444302819,0.09849876444302819,5.510300000000005,93.21180000000004,286.459,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,116.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.02290863059233,51.02177146731595,0.0,6.606881964512918,1.0,5.106527394840706,0.0,0.0,0.0,5.41499046939678,53.88115086723114,6.606881964512918,58.74853876128035,0.0,0.0,0.0,0.0,0.0,0.0,11.713409359353623,0.0,5.41499046939678,53.88115086723114,58.74853876128035,0.0,0.0,0.0,20.23,0.0,0.0,0.0,8.80560622196528,5.658978228720067,0.0,0.0,16.28479534344588,11.167286872535442,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.660593387927179
8,P22077,CC(=O)C1=CC(=C(S1)SC2=C(C=C(C=C2)F)F)[N+](=O)[O-],2.4150990287386307,700.0060362996846,14.861442840636295,10.05378507059623,11.686778232451683,9.379917853109719,5.302724509491187,6.935717671346638,3.7734502334968942,6.136266292346183,2.3198753493389943,4.785163190525389,1.3964175351195278,3.5840856975321285,16.55775273090946,23.689685548187036,0.0,25.452441067789657,6.06636706846161,35.23140496424907,12.990104268152233,0.0,0.0,0.0,0.0,314.983541524,1.35,2.05,2.6,0.08333333333333333,-1.8,20.0,308.266,30503.074444967653,14.60581597222222,5.676233589859665,3.0207644628099164,120.12742347852698,13.541287005542959,13.541287005542959,0.06152966742252475,-0.8036361489040058,4.288300000000001,71.4589,315.32200000000006,0.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,104.0,0.0,15.843620859613871,5.783244946364939,0.0,5.687386274683562,0.0,14.908855452837393,8.78083009534964,0.0,11.336785877934737,11.761884949391115,19.056471336613843,17.028217612440994,9.800458242518971,2.0,18.498678328239134,34.569302048374354,0.0,0.0,0.0,16.02839985273048,0.0,50.891375418405104,0.0,0.0,0.0,14.468216370033202,0.0,23.098670827325854,10.70655599518261,0.0,21.748759950857362,16.595421577463746,33.3701309268863,0.0,0.0,0.0,60.209999999999994,26.531343749327608,1.7140842309145876,21.82634044396761,10.920782680356092,-0.25562499999999955,-1.8300413622239013,4.1323189090451,0.0,1.2941296819462402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.479597320543144
9,Trametinib,CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O,1.9041474425189262,1785.490615130343,26.593129169275663,20.263578610263878,22.421076901440205,17.57829515586738,11.591018781120153,12.669767926708316,9.066378953908337,10.312011173095142,6.364245188533919,7.035236291860008,4.499591066807251,4.952787799792361,22.62549802935338,23.568563783962105,0.0,39.92064603479611,27.78659806628454,0.0,39.805442262665096,37.255572541998674,22.590870627068057,10.633577208012662,0.0,615.077880436,1.0810810810810811,1.8108108108108107,2.4594594594594597,0.23076923076923078,-3.7399999999999998,37.0,592.2189999999999,271183013.9177463,24.932467974676506,9.287553956605619,4.365407598815115,223.23806440459376,14.795061696223737,14.795061696223737,0.08043863378684835,-0.5808116232412763,3.940120000000003,148.7573999999998,615.4029999999999,2.0,9.0,1.0,0.0,1.0,2.0,2.0,4.0,8.0,2.0,11.0,0.0,5.0,1.0,0.0,1.0,190.0,10.633577208012662,17.02130783334572,0.0,5.907179729351506,11.118533790104014,5.689743398203474,28.08491049558953,9.184952231746642,0.0,0.0,6.06636706846161,78.75445348338037,34.83427004896173,16.891473266983386,5.0,9.184952231746642,56.59361061570277,0.0,13.701298943374063,7.04767198267719,32.730958474381225,10.633577208012662,88.60731282356252,0.0,5.687386274683562,27.441854396320153,21.58305037487697,0.0,22.590870627068057,19.60847867272557,11.842209166749011,16.311140311801914,31.3706727663876,56.848181031446735,0.0,16.59031120676462,0.0,107.13,19.269684152139245,1.9908882373140637,52.572340177506405,5.722519010423363,-0.35126678850830184,-0.7526054858771307,10.905917955611665,1.3449276764067528,2.92209737220721,1.4954976927767332,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33123880519002113
